// METGen - The Synthesized METAR Generator
// Copyright (C) 2025 FiendishDrWu
//
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU Affero General Public License as published
// by the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU Affero General Public License for more details.
//
// You should have received a copy of the GNU Affero General Public License
// along with this program.  If not, see <https://www.gnu.org/licenses/>.
//
ICAO,Latitude,Longitude
00AN,59.093472,-156.455833
00AR,38.969650,-97.601556
00CL,39.427189,-121.763428
00IG,39.724028,-101.395994
00TN,36.120450,-86.359533
00TT,34.516606,-99.936942
00TX,32.544453,-95.673131
00XA,30.224039,-96.014153
01AN,61.649028,-149.339028
01CN,62.106983,-150.109297
01GE,32.675150,-82.770994
01ID,42.608250,-112.032461
01NK,43.422944,-73.268025
01OH,39.497472,-84.313917
01OL,34.372569,-96.716036
01TX,33.170581,-98.622222
02AL,30.371464,-87.764444
02AN,59.704222,-151.295869
02FA,28.526667,-81.874800
02FD,30.952347,-86.635417
02MI,43.157003,-85.148928
02MN,45.629736,-93.174972
02MO,39.046261,-91.028219
02NM,32.090711,-108.870736
02WA,47.152325,-122.094003
03CO,38.097919,-106.089756
03IA,41.141411,-95.194381
03MO,39.288831,-93.992422
03N,11.222,169.852005
03OL,35.012333,-97.702736
03TT,29.632117,-95.932481
03WN,45.875456,-120.672325
04AN,61.737511,-148.700725
04AZ,35.721778,-114.450539
04CA,34.566644,-117.670772
04FA,25.558719,-80.515058
04KS,37.398547,-100.037094
04TN,36.183333,-82.678889
04TT,29.713694,-99.545622
04WN,46.958358,-119.638819
05AK,61.668656,-149.187333
05AN,64.960472,-147.601092
05AR,36.000633,-93.570250
05IA,43.137872,-93.068342
05KS,37.266339,-95.958975
05LA,32.265422,-91.697922
05MD,39.244219,-76.198672
05MO,40.172019,-92.212508
05NR,36.168417,-79.276908
05OH,40.184667,-81.920625
05UT,37.288083,-113.696944
06AA,60.540139,-150.813611
06AN,60.733819,-151.213594
06FA,26.908153,-80.328414
06FD,28.641667,-81.885000
06IA,41.840142,-91.834414
06MN,47.516522,-94.086439
06MO,39.230878,-94.801536
06TE,30.312958,-95.027283
06TT,30.860022,-100.201994
06WN,46.924986,-122.553039
07AN,62.825556,-149.910808
07FA,25.324317,-80.275728
07GE,31.555661,-83.278489
07IA,40.647889,-95.021350
07ID,48.149211,-116.998014
07LA,31.053000,-92.632875
07MD,39.609047,-77.047997
07MT,48.421094,-106.527717
07PA,41.853081,-80.407200
08AN,61.704294,-149.212506
08AR,33.723611,-94.145278
08IL,41.860383,-88.655742
08KS,39.034389,-97.580000
08NY,41.367261,-74.518933
08OL,35.408089,-98.605478
08TN,35.298914,-86.474356
08TT,30.308803,-99.022228
08UT,38.335017,-109.135175
08WI,44.581986,-88.142250
09AN,59.672108,-151.657858
09CL,39.112064,-121.055189
09FA,27.245603,-81.413128
09GE,34.458419,-84.180372
09MN,45.076603,-92.985969
09MT,45.909344,-113.763183
09TS,29.482631,-103.162978
0AA1,60.080850,-142.495494
0AA4,62.509183,-153.890628
0AK8,61.426878,-142.978833
0AR3,34.328028,-93.259289
0AZ1,33.395658,-113.222528
0CA0,36.652744,-119.587114
0CD5,37.490683,-104.144125
0CL3,32.633372,-116.890311
0CN1,37.452178,-120.764758
0CN2,39.228622,-121.688264
0CO2,38.851936,-106.932819
0FD4,30.607486,-85.025292
0FL0,26.708039,-81.175708
0GA9,32.713594,-84.028539
0GE3,34.902803,-85.460406
0IA4,41.027844,-91.063472
0ID2,44.443831,-113.775089
0ID9,46.785278,-116.471131
0IL7,39.782917,-88.546708
0IN4,41.142047,-84.909006
0KS2,37.393908,-97.151486
0KS5,38.450667,-98.799669
0KS6,38.787258,-99.440058
0KS7,37.700186,-97.887219
0KS8,37.381572,-95.375894
0KS9,37.515561,-96.921606
0MO3,38.624925,-94.521658
0MO6,40.076611,-92.319281
0MS0,32.475192,-88.616942
0MT6,48.037689,-114.674619
0MU9,37.337789,-93.164078
0NE9,40.867764,-97.353850
0NM7,33.520894,-108.542836
0OH5,40.596831,-82.431731
0PA3,41.747283,-76.760403
0PN0,41.441947,-80.155094
0TA8,30.670833,-99.331944
0TE4,31.080808,-96.214981
0TE5,27.433794,-99.185939
0TE7,30.251814,-98.622531
0TX1,32.353689,-97.676150
0TX6,29.504919,-97.997078
0TX7,33.092944,-96.390028
0WA1,46.617050,-122.826233
0WI8,43.13890075683594,-88.47229766845703
0XA4,27.997111,-98.882861
0XA5,28.685383,-98.383117
0XS2,30.555453,-100.531250
0XS7,29.194019,-100.280181
10AR,34.262861,-92.121611
10CO,39.268111,-108.864028
10FA,28.797489,-81.935914
10IN,39.159239,-87.099836
10LS,30.491833,-92.572844
10MO,38.918175,-91.683100
10TS,31.997881,-94.799817
10TT,33.015111,-98.626083
11IA,42.349872,-92.513392
11KS,37.255011,-96.960372
11LA,29.258750,-89.353025
11LL,40.723092,-88.763119
11OR,42.133347,-121.218336
11TN,35.595861,-85.718853
11TT,30.373308,-100.190225
11WY,44.958606,-104.868656
12CL,36.156897,-119.849578
12CN,39.268406,-122.116781
12KS,37.937669,-97.493939
12LS,30.178611,-92.285000
12ND,48.295503,-101.427492
12NK,44.158386,-73.432906
12TT,33.593747,-97.100764
12UT,38.488211,-109.439386
12VA,37.788056,-79.767778
12WV,38.343703,-82.111353
13KS,37.697697,-97.109464
13ME,45.776667,-69.802567
13NM,33.419511,-108.139494
13PA,41.682392,-79.452953
13WI,43.698431,-89.004578
14IA,43.360281,-94.442364
14LA,30.615508,-90.536050
14MA,42.274442,-72.599656
14MO,37.834469,-93.375339
14MS,32.345278,-89.034167
14MT,48.617897,-110.327061
14OI,40.919222,-82.114042
14TA,33.983633,-98.716006
14TS,27.421667,-98.604361
14TT,36.047147,-100.520803
15FL,30.153742,-82.666406
15IA,42.235394,-90.406767
15MO,38.593439,-92.127444
15NC,36.239722,-76.973889
15TT,33.116192,-96.552786
15XA,30.403847,-98.579861
16FL,30.725631,-87.200764
16KS,37.223439,-95.598158
16NY,43.251947,-73.563194
16TA,30.919622,-103.783275
16TT,31.093611,-96.043750
16TX,32.849675,-100.136650
16UT,41.444317,-112.048075
17AR,34.533428,-92.100144
17FA,26.713400,-81.535356
17FD,29.431189,-81.520028
17FL,29.278131,-82.121386
17LS,30.607931,-91.975278
17NK,42.456944,-76.950833
17XS,32.177764,-98.435050
18AA,59.365047,-135.804906
18AR,36.344167,-93.831667
18AZ,33.818614,-111.898131
18FD,30.854075,-86.667178
18GE,32.045508,-82.467683
18IN,41.381922,-86.431797
18KS,37.372272,-97.108258
18MI,42.202069,-84.939356
18MO,36.963556,-93.172153
18MS,32.453333,-90.363889
18NH,42.991700,-71.474106
18NV,40.578556,-119.351444
18OI,41.419742,-82.971303
18SC,34.097769,-81.891542
18TE,32.585197,-95.063914
19AZ,34.605025,-111.865153
19MN,45.174764,-93.765092
19MO,37.806139,-91.814183
19MT,46.838069,-108.936833
19TS,27.929578,-98.533769
1AA0,35.188106,-85.176578
1AR4,36.162222,-93.607222
1AR5,36.299444,-94.584722
1AZ0,33.111900329589844,-112.2689971923828
1CO5,38.015286,-103.699117
